amphoe_name,province_name,pm25_mean,pm25_std,pm25_min,pm25_max,data_points,latitude,longitude,air_quality_category,air_quality_color,Unnamed: 11,longitude_original,latitude_original
ด่านมะขามเตี้ย,กาญจนบุรี,23.44,10.85,10.46,54.61,366,13.839335999597777,99.32550419704314,Moderate,#ffff00,ด่านมะขามเตี้ย|กาญจนบุรี,11056864.55,1555790.404
ภูเพียง,น่าน,31.3,19.9,9.85,102.24,366,13.830747581792942,100.28755656753846,Unhealthy for Sensitive,#ff7e00,ภูเพียง|น่าน,11163959.73,1554805.78
จตุจักร,กรุงเทพมหานคร,22.6,9.6,10.02,51.31,366,13.826487089983312,100.56517434839402,Moderate,#ffff00,จตุจักร|กรุงเทพมหานคร,11194864.0,1554317.347
ลาดพร้าว,กรุงเทพมหานคร,23.11,9.66,10.29,51.68,366,13.824865287304158,100.60848042144238,Moderate,#ffff00,ลาดพร้าว|กรุงเทพมหานคร,11199684.81,1554131.422
นาหมื่น,น่าน,26.82,17.97,8.41,79.33,366,13.821600616809773,100.17884900955589,Unhealthy for Sensitive,#ff7e00,นาหมื่น|น่าน,11151858.46,1553757.161
คันนายาว,กรุงเทพมหานคร,23.01,9.27,10.94,51.28,366,13.821174051078577,100.67732398105073,Moderate,#ffff00,คันนายาว|กรุงเทพมหานคร,11207348.44,1553708.26
บางซื่อ,กรุงเทพมหานคร,21.96,9.48,9.67,50.68,366,13.820245671910483,100.52857680405594,Moderate,#ffff00,บางซื่อ|กรุงเทพมหานคร,11190789.98,1553601.832
ทุ่งช้าง,น่าน,27.95,22.57,7.36,128.43,366,13.820236189911506,100.0203340013192,Unhealthy for Sensitive,#ff7e00,ทุ่งช้าง|น่าน,11134212.65,1553600.745
สนม,สุรินทร์,22.04,12.83,7.36,62.5,366,13.82006331564346,99.82516386673471,Moderate,#ffff00,สนม|สุรินทร์,11112486.41,1553580.927
เชียงคำ,พะเยา,27.79,20.92,8.18,100.54,366,13.81324083812476,100.42181400883194,Unhealthy for Sensitive,#ff7e00,เชียงคำ|พะเยา,11178905.2,1552798.822
มีนบุรี,กรุงเทพมหานคร,23.18,9.34,11.1,51.85,366,13.809358809364706,100.75472605986552,Moderate,#ffff00,มีนบุรี|กรุงเทพมหานคร,11215964.8,1552353.81
บึงกุ่ม,กรุงเทพมหานคร,22.86,9.14,10.91,50.74,366,13.808647651313217,100.65119279791946,Moderate,#ffff00,บึงกุ่ม|กรุงเทพมหานคร,11204439.53,1552272.288
